,P/B,D/E,Y/Y Revenue Growth,Gross Profit Margin,Trailing P/E,Forward P/E
Internet Retail,3.7431099247585378,71.3064705882353,0.7008499999999998,0.43799675034999985,38.19785184380952,2.06254605333333
Leisure,4.651286864733333,233.21754166666673,0.028857142857142838,0.4296533333333333,34.20749683333333,20.30013044761905
Lodging,1.5232023151666665,336.84799999999996,0.1738333333333333,0.5654641683333334,26.476895037499997,22.879967479999998
Luxury Goods,8.227012599999998,303.37885714285716,0.1966,0.4758870010000001,27.96516108,-53.6888634125
Packaging & Containers,1.8347618833333328,125.99565217391303,0.07616666666666666,0.20959125083333333,19.68692278125,9.457101347619048
Personal Services,4.210351720399999,186.88869230769234,0.17366666666666666,0.329175715,17.2356176187125,13.86260881111111
Recreational Vehicles,2.168009772142857,150.0182857142857,10.955071428571427,0.2177728542857143,20.553076142857144,12.02577134509091
Residential Construction,2.1453235577272727,44.000523809523806,-0.07995238095238097,0.23164380800000003,16.124920745,13.038632131578947
Resorts & Casinos,2.65127784375,1390.7016428571428,0.045312500000000006,0.5285425,24.93519457777778,7.8192707312500005
Restaurants,-0.9418408407666669,277.3858823529412,0.12514893617021278,0.2851070246382978,31.012835154545453,17.94086208972973
Specialty Retail,16.08669880693878,2984.4889523809516,0.02506521739130434,0.22915673536734693,21.686564136,17.057246617567568
Textile Manufacturing,3.612537632,43.9925,-0.1675,0.095912495,115.66667,12.362499
Travel Services,-16.469136647368423,172.2214666666667,0.9322631578947369,0.5712000021052631,68.18148739375002,14.200420361111108
Beverages—Brewers,4.533983446285714,62.123714285714286,-0.037714285714285714,0.4733614285714286,23.219204166666668,14.852600214285713
Beverages—Non-Alcoholic,6.674749619411764,105.75462499999999,0.12235294117647057,0.41487529411764706,42.32554291333334,12.980078978571429
Beverages—Wineries & Distilleries,12.376718278,52.159,-0.12525,0.349428997,166.661091,17.50512705
Confectioners,3.7869356960000005,77.774,-0.0858,-0.03072999999999999,36.76358666666667,4.0899230840000005
Discount Stores,7.8168765875,132.415875,0.099375,0.23050999500000002,29.877812,8.923820249999999
Education & Training Services,-3.397182089234089,488.8041025641026,0.10052380952380956,0.5181206872727273,27.382341566666668,6.385574610937501
Farm Products,-1.8140634480000002,204.39386363636365,0.08734782608695651,0.08118125123749999,32.341256712399996,2.115395355
Food Distribution,3.1079104861538456,139.52884615384613,-0.03338461538461539,0.22248615276923073,31.669101666666663,15.240165655555554
Grocery Stores,2.37553795,222.95009090909087,0.03436363636363637,0.27552545727272726,17.723362062499998,4.625223288888891
Household & Personal Products,43.53406365753334,534.2584285714286,-0.011517241379310343,0.5419259999999999,37.19979541875001,12.790854216666665
Packaged Foods,7.424546475464284,170.47127083333336,3.43454716981132,0.3013041060178572,47.31405342903226,5.627900080487805
Tobacco,-5.9881695894,122.53014285714285,-0.10433333333333333,0.309256987,20.24966458333333,4.537661032222222
Oil & Gas Drilling,1.6412093222222222,92.57233333333335,0.094,0.3178455555555556,251.46804500000002,17.777182888888888
Oil & Gas E&P,8.652669654210525,51.85490909090909,0.4885068493150685,0.6528218401315788,22.304673725454546,25.639530163934428
Oil & Gas Equipment & Services,2.021468033061224,59.924553191489366,0.06183333333333333,0.31839387571428573,33.44179966666667,15.119648989361696
Oil & Gas Integrated,3.0263850575,78.45372222222221,0.01194444444444444,0.3356222244444445,154.17258539333335,9.166915118750001
